Price1,Price2,Price3,Date
77.22947149346223,95.52565799053805,95.43619578253049,2023-04-12
76.03673780241974,94.82181190600824,95.25812573372944,2023-04-13
,,95.45571493482981,2023-04-14
74.950323207168,94.29961053477692,95.30591287313716,2023-04-15
77.16847902242004,95.84746503092876,95.54272269518282,2023-04-16
76.62554081833204,95.25769213837212,95.5903992958108,2023-04-17
,96.46081285348596,95.72775672332523,2023-04-18
75.8151630355297,95.27664652785072,95.680426751669,2023-04-19
76.4575281476922,95.63368633836755,95.42160006752981,2023-04-20
74.76531759547075,94.67357899727246,95.34500178953053,2023-04-21
76.79726055881957,95.46638206382515,,2023-04-22
77.16071726773335,95.57115690037364,95.57921928731812,2023-04-23
77.63762679184235,95.48353998755792,95.55287264696334,2023-04-24
77.11583691776323,95.86252035071918,95.5838199542781,2023-04-25
76.35992829924815,95.51304266097502,95.54000372767156,2023-04-26
74.70398759807614,94.7903697670224,95.40179638140022,2023-04-27
74.03401385193152,94.03253250866646,95.19227320254625,2023-04-28
76.0838748722294,,,2023-04-29
76.4934219066555,95.70687613581599,95.54819993380069,2023-04-30
75.973647695043,94.89569369653286,95.29701433527518,2023-05-01
