Price1,Price2,Price3,Price4,Date
104.8119301286571,121.86363553029015,102.71287433698264,102.42874129933665,2023-03-02
104.80418638965853,121.84304659015082,102.67421655612226,102.43897792032698,2023-03-03
104.8325063053028,121.89121608638901,102.67112171856914,102.41703539415505,2023-03-04
104.84660181278119,121.86606511854467,102.70129832543421,102.44427772895372,2023-03-05
104.80958741963714,121.83695234449078,102.69864190466777,102.37274844797741,2023-03-06
104.85139455904257,121.78154831343073,102.71460358226956,102.48775685496553,2023-03-07
104.84547276840058,121.85969598593167,102.72089517080737,102.39011943518368,2023-03-08
104.83809386271781,121.88536475686105,102.71631999982867,102.40475811426123,2023-03-09
104.80753835433178,121.918180814117,102.68127067933261,102.37522472889266,2023-03-10
104.83811373489824,121.92558809314582,102.66296488183569,102.40649362934514,2023-03-11
104.79102206332018,121.87191015740629,102.68925406740915,102.42273114514647,2023-03-12
104.8505854532128,121.87417519905794,102.70629455624982,102.40890151428292,2023-03-13
104.80265692273623,121.82224141815124,102.7016616483551,102.41877469459374,2023-03-14
104.83293588479366,121.88374478185717,102.69835774199713,102.41068391414659,2023-03-15
104.86430369315225,121.85207605345775,102.67662366929561,102.39227988029039,2023-03-16
104.80258595582274,121.87199076412477,102.6967158495406,102.37858446547379,2023-03-17
104.71667450344954,121.81307664265184,102.75754127859778,102.3718651702505,2023-03-18
104.82837793522309,121.80946196257301,102.67672648265183,102.38322013690512,2023-03-19
104.80707397395614,121.90437179382343,102.72843178515225,102.37914814912962,2023-03-20
104.80714705205284,121.85858428374496,102.70809299709111,102.41030253123829,2023-03-21
104.83111147800598,121.86514563070348,102.6996890741447,102.40415923223566,2023-03-22
104.79226926017833,121.9105398976244,102.6695532903157,102.39585553044776,2023-03-23
104.84826210825385,121.8571751508455,102.66119402031408,102.4160412181395,2023-03-24
104.8462084226859,121.81727165967831,102.71086925840417,102.37857111914077,2023-03-25
104.82681451950775,121.86108816695949,102.69609236516274,102.40962772754858,2023-03-26
104.82705960601054,121.87854222748992,102.70636805662043,102.41505595046527,2023-03-27
104.86219785883452,121.84734137317459,102.73667716349975,102.39477596546435,2023-03-28
104.79642259736086,121.8969551241568,102.71707986855185,102.41401886873732,2023-03-29
104.80745965494155,121.76714280825193,102.67836938023599,102.38350645202188,2023-03-30
104.84538645952013,121.85385484459363,102.7019402738201,102.4097611583856,2023-03-31
104.823965791647,121.84931000568463,102.69362626939274,102.44385690908412,2023-04-01
104.80277472239199,121.82805098551574,102.74124285003725,102.41340637753335,2023-04-02
104.79686619612423,121.89589699504614,102.72610040004814,102.39321117206563,2023-04-03
104.79309948885499,121.85192083943451,102.68888769658186,102.41899223529559,2023-04-04
104.82588069861704,121.83672819149068,102.72352627201667,102.38801514231287,2023-04-05
104.80525779024858,121.899014687058,102.71811807703817,102.37618227172875,2023-04-06
104.81077901223816,121.8687119768213,102.70488612434211,102.40752799342359,2023-04-07
104.82420790318247,121.8461190848337,102.79477769899759,102.4099024691851,2023-04-08
104.85973226209846,121.8703345803662,102.70197379211916,102.40134896171983,2023-04-09
104.8746870705887,121.90030610752684,102.71346554630126,102.38653243822966,2023-04-10
104.83225833834048,121.79096523745605,102.65842005103512,102.44949269361226,2023-04-11
104.85921328260424,121.8578345205037,102.60872125608697,102.42579557855085,2023-04-12
104.81586659894504,121.86283615973018,102.69131973486313,102.37051130070314,2023-04-13
104.79788841905577,121.83225633322209,102.70156353120423,102.44238362304498,2023-04-14
104.84187763720642,121.85741894549304,102.68202776880149,102.33154207658944,2023-04-15
104.85564352405603,121.89781229817935,102.6559249163248,102.42563584532358,2023-04-16
104.84275140592935,121.83841241357328,102.68598931427718,102.37981410972239,2023-04-17
104.82668891070519,121.90863442597175,102.6996884880877,102.4187960144872,2023-04-18
104.86443635732739,121.8575553048441,102.73283084975537,102.40003961108006,2023-04-19
104.81862484966607,121.91385378985981,102.71363475574428,102.38185649842445,2023-04-20
104.83687364183386,121.8406478415077,102.68970315485709,102.39782162176816,2023-04-21
104.56651026585763,122.00515604071757,102.66610390255374,102.31883576136885,2023-04-22
104.77808481493844,121.88311512650708,102.68002053226286,102.41401809441885,2023-04-23
104.8385893805181,121.86398983040455,102.69667009895655,102.40945005701386,2023-04-24
104.81556120206896,121.88238386120432,102.71357389169394,102.41841069576354,2023-04-25
104.84361421368811,121.86587316901169,102.71339503211246,102.41390233830862,2023-04-26
104.83908521524624,121.85999140927208,102.68669693800513,102.41518021832537,2023-04-27
104.82769177956642,121.88233069482555,102.73296670848559,102.4319632784462,2023-04-28
104.82233631706308,121.86335893801997,102.68155759196885,102.39812892805021,2023-04-29
104.84582643452882,121.87163505992885,102.6923921956593,102.38582064082104,2023-04-30
104.83646743555902,121.8780531642351,102.69937067744864,102.46139314730043,2023-05-01
